codigo,estacion,latitud,longitud,2026091518,2026091600,2026091606,2026091612,2026091618,2026091700,2026091706,2026091712,2026091718,2026091800,2026091806,2026091812,2026091818,2026091900,2026091906,2026091912,2026091918,2026092000,2026092006,2026092012
ACOBAMBA,ACOBAMBA,-12.84361,-74.56161,1.03,2.58,0.19,0.98,3.11,0.57,0.01,0.37,1.36,0.28,0.02,0.01,1.89,7.84,1.26,0.01,0.55,0.89,0.06,0.01
ACOPALCA,ACOPALCA,-11.98732,-75.10352,4.26,4.49,0.06,0.0,1.36,1.06,0.15,0.17,1.99,2.39,0.24,0.34,1.33,6.87,5.78,0.0,0.43,1.44,0.02,0.01
ACOSTAMBO,ACOSTAMBO,-12.36078,-75.05725,5.46,7.03,0.22,0.02,2.06,1.95,0.05,0.05,2.25,3.83,0.14,0.24,4.23,9.24,2.17,0.0,1.55,1.49,0.06,0.0
AGUAYTIA,AGUAYTIA,-9.04225,-75.50624,0.05,0.43,0.0,0.0,0.21,1.11,5.07,3.08,0.39,1.95,0.01,0.63,2.52,0.85,0.01,0.0,0.18,3.44,0.01,0.01
AIJA,AIJA,-9.78164,-77.60674,0.38,2.14,0.44,0.07,0.47,0.34,0.0,0.02,0.31,0.6,0.05,0.05,0.63,5.04,0.08,0.0,0.52,0.41,0.0,0.01
ALAO,ALAO,-6.517,-76.73806,0.05,1.37,0.2,0.0,0.09,0.39,1.98,0.88,0.78,0.94,0.69,4.14,1.81,0.24,0.0,0.0,0.08,0.68,0.53,0.03
ALCANTARILLA,ALCANTARILLA,-11.06068,-77.55028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.08,0.72
ALTO DE POCLUS,ALTO DE POCLUS,-4.9169,-79.89047,1.24,6.71,0.27,0.3,0.82,3.43,0.09,0.03,1.46,2.14,0.01,0.01,0.65,1.51,0.15,0.01,0.5,1.48,0.23,0.14
AMAZONAS,AMAZONAS,-3.7,-73.3,2.85,0.61,0.0,0.0,0.98,1.73,0.08,0.07,3.42,2.86,3.23,1.04,1.72,3.52,0.47,0.43,0.51,1.79,0.0,0.02
AMBAR,AMBAR,-10.75484,-77.2668,0.06,0.94,0.21,0.0,0.0,0.14,0.0,0.0,0.03,0.82,0.12,0.01,0.12,0.63,0.14,0.0,1.41,0.82,0.01,-0.01
