codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.133,0.772,1.625,0.468,58
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.151,0.823,1.752,0.194,45
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.14,0.474,1.279,0.136,50
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.222,0.919,2.135,0.015,59
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,pp,20260822,20260920,00Z,D1,6h,-0.29,0.783,1.787,0.192,30
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.652,0.863,1.468,0.206,224
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.246,0.523,1.032,0.165,170
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.209,0.454,1.011,0.065,198
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.147,0.192,0.885,0.048,225
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.803,0.956,1.52,0.191,114
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.417,0.452,0.94,0.352,222
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.239,0.317,0.603,0.443,169
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.402,0.544,0.894,0.08,194
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.055,0.117,0.474,0.153,220
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,mpas15,pp,20260822,20260920,00Z,D1,6h,1.134,1.209,2.219,0.097,112
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.33,0.476,0.972,0.4,216
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.629,0.755,1.507,0.273,164
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.561,0.706,1.212,0.167,188
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.076,0.181,0.624,0.372,214
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,mpas15,pp,20260822,20260920,00Z,D1,6h,1.025,1.12,2.096,0.335,109
220907,NARANJITO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.221,0.358,0.789,0.216,224
220907,NARANJITO,AMAZONAS,UTCUBAMBA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.522,0.678,1.288,0.161,170
220907,NARANJITO,AMAZONAS,UTCUBAMBA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.6,0.764,1.376,0.041,196
220907,NARANJITO,AMAZONAS,UTCUBAMBA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.037,0.132,0.7,0.145,222
