codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,rmse,spearman,n,pod_0p1,far_0p1,csi_0p1,eventos_0p1,pod_1,far_1,csi_1,eventos_1,pod_5,far_5,csi_5,eventos_5,pod_25,far_25,csi_25,eventos_25
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,pp,20260825,20260923,"00Z,12Z",D1,6h,-0.165,1.648,0.441,56,0.8,0.5,0.444,20,0.5,0.667,0.25,8,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,pp,20260825,20260923,"00Z,12Z",D1,6h,-0.188,1.834,0.164,41,0.812,0.536,0.419,16,0.167,0.75,0.111,6,0.0,S/D,0.0,3,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,pp,20260825,20260923,"00Z,12Z",D1,6h,-0.144,1.332,0.172,46,0.4,0.667,0.222,15,0.5,0.5,0.333,4,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,pp,20260825,20260923,"00Z,12Z",D1,6h,-0.237,2.211,-0.008,55,0.25,0.667,0.167,20,0.125,0.833,0.077,8,0.0,1.0,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,pp,20260825,20260923,00Z,D1,6h,-0.339,1.843,0.165,28,0.4,0.5,0.286,10,0.25,0.75,0.143,4,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260825,20260923,"00Z,12Z",D1,6h,0.648,1.41,0.224,232,1.0,0.911,0.089,14,0.8,0.877,0.119,10,0.0,1.0,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,pp,20260825,20260923,"00Z,12Z",D1,6h,0.222,1.013,0.207,174,0.8,0.929,0.07,10,0.714,0.773,0.208,7,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,pp,20260825,20260923,"00Z,12Z",D1,6h,0.221,1.007,0.113,199,0.75,0.907,0.09,12,0.375,0.88,0.1,8,0.0,S/D,0.0,3,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,pp,20260825,20260923,"00Z,12Z",D1,6h,-0.144,0.879,0.065,229,0.143,0.857,0.077,14,0.0,S/D,0.0,10,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,pp,20260825,20260923,00Z,D1,6h,0.812,1.578,0.132,116,0.714,0.925,0.072,7,0.8,0.92,0.078,5,0.5,0.5,0.333,2,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260825,20260923,"00Z,12Z",D1,6h,0.404,0.93,0.315,228,0.944,0.84,0.159,18,0.5,0.868,0.116,10,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,pp,20260825,20260923,"00Z,12Z",D1,6h,0.303,0.826,0.404,172,1.0,0.825,0.175,14,0.571,0.84,0.143,7,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,pp,20260825,20260923,"00Z,12Z",D1,6h,0.406,0.896,0.084,195,0.733,0.904,0.093,15,0.222,0.946,0.045,9,S/D,S/D,S/D,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,wrf5,pp,20260825,20260923,"00Z,12Z",D1,6h,-0.048,0.467,0.184,224,0.176,0.727,0.12,17,0.111,0.667,0.091,9,S/D,S/D,S/D,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,mpas15,pp,20260825,20260923,00Z,D1,6h,1.039,1.893,0.078,114,0.667,0.895,0.1,9,0.6,0.936,0.061,5,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260825,20260923,"00Z,12Z",D1,6h,0.295,0.885,0.353,222,0.9,0.846,0.151,20,0.375,0.88,0.1,8,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,gfs,pp,20260825,20260923,"00Z,12Z",D1,6h,0.723,1.629,0.276,168,0.875,0.864,0.133,16,0.429,0.929,0.065,7,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,eta5,pp,20260825,20260923,"00Z,12Z",D1,6h,0.516,1.163,0.162,189,0.733,0.896,0.1,15,0.333,0.953,0.043,6,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,wrf5,pp,20260825,20260923,"00Z,12Z",D1,6h,-0.078,0.59,0.384,218,0.3,0.667,0.188,20,0.125,0.667,0.1,8,S/D,S/D,S/D,0,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,mpas15,pp,20260825,20260923,00Z,D1,6h,1.001,2.057,0.295,111,0.9,0.809,0.188,10,1.0,0.895,0.105,4,S/D,1.0,0.0,0,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260825,20260923,"00Z,12Z",D1,6h,0.238,0.883,0.24,230,1.0,0.868,0.132,16,0.0,1.0,0.0,4,0.0,1.0,0.0,2,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,gfs,pp,20260825,20260923,"00Z,12Z",D1,6h,0.492,1.212,0.259,173,1.0,0.88,0.12,12,0.5,0.941,0.056,4,0.0,S/D,0.0,2,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,eta5,pp,20260825,20260923,"00Z,12Z",D1,6h,0.551,1.316,0.07,197,0.615,0.925,0.071,13,0.0,1.0,0.0,3,0.0,S/D,0.0,2,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,wrf5,pp,20260825,20260923,"00Z,12Z",D1,6h,-0.041,0.698,0.18,226,0.188,0.8,0.107,16,0.0,1.0,0.0,4,0.0,S/D,0.0,2,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,mpas15,pp,20260825,20260923,00Z,D1,6h,1.048,2.187,0.192,115,0.875,0.854,0.143,8,1.0,0.949,0.051,2,0.0,1.0,0.0,1,S/D,S/D,S/D,0
