codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,temp,20260823,20260921,00Z,D1,3h,S/D,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,-3.154,3.229,3.61,0.88,472
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,-3.311,3.4,3.775,0.902,480
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,-0.634,1.515,1.929,0.896,412
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,0.731,1.604,2.011,0.9,472
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,temp,20260823,20260921,00Z,D1,3h,-4.316,4.318,4.582,0.924,240
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
