codigo,estacion,latitud,longitud,2026092000,2026092001
472B55E0,PUENTE SALINAS AMOJAO,-5.45096,-78.4894,24.4,22.4
472C57D4,BAGUA,-5.66145,-78.53403,27.0,25.1
472B607A,CORRAL QUEMADO,-5.75461,-78.69208,28.3,26.9
472B2370,MAGUNCHAL,-5.88987,-78.18876,24.9,23.0
220907,NARANJITO,-5.81968,-78.27598,27.5,25.6
109096,BUENA VISTA,-9.43372,-78.20828,20.2,19.9
4725A10C,CHAVIN,-9.58598,-77.17529,8.1,7.4
109091,SAUCEPAMPA,-9.0309,-77.7763,14.5,12.9
472182DA,PUENTE CAHUA,-10.60597,-77.34388,19.8,17.7
47E89394,PACHACOTO,-9.85243,-77.40607,7.7,7.5
47259496,RECUAY,-9.72919,-77.45365,7.7,7.8
110138,SHAQUEK,-10.07116,-77.52504,9.1,8.4
211601,SAN JACINTO,-9.141,-78.2023,22.8,20.8
113253,CURAHUASI,-13.5526,-72.7349,13.3,10.4
47263360,GRANJA SAN ANTONIO,-13.60492,-72.85693,11.1,9.0
472B16EA,HUACULLO,-14.65289,-72.57275,3.8,1.5
113246,TANCAYLLO,-13.63523,-73.69004,13.0,11.5
472A1410,CASACCANCHA,-13.98923,-72.29832,11.7,9.3
116085,AREQUIPA UV,-16.4042,-71.55155,18.5,16.5
47E26242,BOYADERO,-16.58989,-72.00886,18.4,18.6
116083,CAYMA,-16.31689,-71.57919,16.2,14.6
472147C4,CHARCANI,-16.31086,-71.49511,13.8,12.1
116077,CHIGUATA,-16.40645,-71.40914,13.6,11.8
116079,HUASACACHE,-16.45774,-71.56635,18.6,16.6
116065,LA PAMPILLA,-16.41384,-71.53452,18.5,16.5
116086,LAS SALINAS,-16.32064,-71.15212,3.8,3.2
47E360B8,PATAHUASI,-16.05542,-71.41481,7.4,6.3
4722E032,PUENTE DEL DIABLO,-16.42665,-71.67507,19.2,17.4
116082,SAN FRANCISCO,-16.38519,-71.49044,17.9,15.9
47E3B6D0,SAN JOSE DE UZUNA,-16.58103,-71.32836,12.9,11.2
