codigo,estacion,latitud,longitud,2026092518,2026092600,2026092606,2026092612,2026092618,2026092700,2026092706,2026092712,2026092718,2026092800,2026092806,2026092812,2026092818,2026092900,2026092906,2026092912,2026092918,2026093000,2026093006,2026093012
472B55E0,PUENTE SALINAS AMOJAO,-5.45096,-78.4894,,,,,,,,,,,,,,,,,,,,
472C57D4,BAGUA,-5.66145,-78.53403,,,,,,,,,,,,,,,,,,,,
472B607A,CORRAL QUEMADO,-5.75461,-78.69208,,,,,,,,,,,,,,,,,,,,
472B2370,MAGUNCHAL,-5.88987,-78.18876,,,,,,,,,,,,,,,,,,,,
220907,NARANJITO,-5.81968,-78.27598,,,,,,,,,,,,,,,,,,,,
109096,BUENA VISTA,-9.43372,-78.20828,,,,,,,,,,,,,,,,,,,,
4725A10C,CHAVIN,-9.58598,-77.17529,,,,,,,,,,,,,,,,,,,,
109091,SAUCEPAMPA,-9.0309,-77.7763,,,,,,,,,,,,,,,,,,,,
472182DA,PUENTE CAHUA,-10.60597,-77.34388,,,,,,,,,,,,,,,,,,,,
47E89394,PACHACOTO,-9.85243,-77.40607,,,,,,,,,,,,,,,,,,,,
47259496,RECUAY,-9.72919,-77.45365,,,,,,,,,,,,,,,,,,,,
110138,SHAQUEK,-10.07116,-77.52504,,,,,,,,,,,,,,,,,,,,
211601,SAN JACINTO,-9.141,-78.2023,,,,,,,,,,,,,,,,,,,,
113253,CURAHUASI,-13.5526,-72.7349,,,,,,,,,,,,,,,,,,,,
47263360,GRANJA SAN ANTONIO,-13.60492,-72.85693,,,,,,,,,,,,,,,,,,,,
472B16EA,HUACULLO,-14.65289,-72.57275,,,,,,,,,,,,,,,,,,,,
113246,TANCAYLLO,-13.63523,-73.69004,,,,,,,,,,,,,,,,,,,,
472A1410,CASACCANCHA,-13.98923,-72.29832,,,,,,,,,,,,,,,,,,,,
116085,AREQUIPA UV,-16.4042,-71.55155,,,,,,,,,,,,,,,,,,,,
47E26242,BOYADERO,-16.58989,-72.00886,,,,,,,,,,,,,,,,,,,,
116083,CAYMA,-16.31689,-71.57919,,,,,,,,,,,,,,,,,,,,
472147C4,CHARCANI,-16.31086,-71.49511,,,,,,,,,,,,,,,,,,,,
116077,CHIGUATA,-16.40645,-71.40914,,,,,,,,,,,,,,,,,,,,
116079,HUASACACHE,-16.45774,-71.56635,,,,,,,,,,,,,,,,,,,,
116065,LA PAMPILLA,-16.41384,-71.53452,,,,,,,,,,,,,,,,,,,,
116086,LAS SALINAS,-16.32064,-71.15212,,,,,,,,,,,,,,,,,,,,
47E360B8,PATAHUASI,-16.05542,-71.41481,,,,,,,,,,,,,,,,,,,,
4722E032,PUENTE DEL DIABLO,-16.42665,-71.67507,,,,,,,,,,,,,,,,,,,,
116082,SAN FRANCISCO,-16.38519,-71.49044,,,,,,,,,,,,,,,,,,,,
47E3B6D0,SAN JOSE DE UZUNA,-16.58103,-71.32836,,,,,,,,,,,,,,,,,,,,
47E27134,SOCOSANI,-16.25944,-71.72056,,,,,,,,,,,,,,,,,,,,
472EE1AE,TINGO GRANDE,-16.45992,-71.57431,,,,,,,,,,,,,,,,,,,,
116078,TUCTUMPAYA,-16.48827,-71.33463,,,,,,,,,,,,,,,,,,,,
116081,YURA,-16.30271,-71.62395,,,,,,,,,,,,,,,,,,,,
116084,CAMANA,-16.64395,-72.70432,,,,,,,,,,,,,,,,,,,,
472D23BE,OCOÑA,-16.427,-73.1145,,,,,,,,,,,,,,,,,,,,
214400,HUATIAPA,-16.00806,-72.48355,,,,,,,,,,,,,,,,,,,,
4723D752,CHIVAY,-15.64163,-71.60169,,,,,,,,,,,,,,,,,,,,
47E8A60E,COTACOTA,-15.21331,-71.38955,,,,,,,,,,,,,,,,,,,,
47E3A5A6,HUANCA,-16.03458,-71.88108,,,,,,,,,,,,,,,,,,,,
47E3834A,IMATA,-15.84266,-71.09062,,,,,,,,,,,,,,,,,,,,
4729E39A,PAMPA DE MAJES,-16.33565,-72.15266,,,,,,,,,,,,,,,,,,,,
47E373CE,PILLONES,-15.97861,-71.21333,,,,,,,,,,,,,,,,,,,,
47265686,SIBAYO,-15.49422,-71.4638,,,,,,,,,,,,,,,,,,,,
472ED434,SUMBAY,-15.81667,-71.11667,,,,,,,,,,,,,,,,,,,,
115150,COROPUNA,-15.53597,-72.61056,,,,,,,,,,,,,,,,,,,,
114119,VISCA VISCA,-14.7228,-71.9787,,,,,,,,,,,,,,,,,,,,
