codigo,estacion,categoria,departamento,provincia,latitud,longitud,icono,estado,codigo_antiguo
105075,ARAMANGO,CO,AMAZONAS,BAGUA,-5.41994,-78.43553,M,REAL,
105104,CHIRIACO,CO,AMAZONAS,BAGUA,-5.16144,-78.28806,M,DIFERIDO,000229
472B55E0,PUENTE SALINAS AMOJAO,EHA,AMAZONAS,BAGUA,-5.45096,-78.4894,H,AUTOMATICA,
105079,JAZAN,CO,AMAZONAS,BONGARA,-5.94485,-77.97569,M,REAL,
106011,CHACHAPOYAS,CO,AMAZONAS,CHACHAPOYAS,-6.2083,-77.86712,M,REAL,
104060,SANTA MARIA DE NIEVA,CO,AMAZONAS,CONDORCANQUI,-4.83039,-77.93928,M,DIFERIDO,000256
472C57D4,BAGUA,EAMA,AMAZONAS,UTCUBAMBA,-5.66145,-78.53403,M,AUTOMATICA,
105068,BAGUA CHICA,CP,AMAZONAS,UTCUBAMBA,-5.66148,-78.53396,M,REAL,
472B607A,CORRAL QUEMADO,EHA,AMAZONAS,UTCUBAMBA,-5.75461,-78.69208,H,AUTOMATICA,
106121,EL PALTO,CO,AMAZONAS,UTCUBAMBA,-6.00039,-78.47097,M,DIFERIDO,003332
105040,EL PINTOR,PLU,AMAZONAS,UTCUBAMBA,-5.7562,-78.52286,M,DIFERIDO,152204
105042,JAMALCA,CO,AMAZONAS,UTCUBAMBA,-5.8927,-78.2339,M,REAL,
221501,LOS NARANJOS,HLG,AMAZONAS,UTCUBAMBA,-5.75568,-78.43154,H,REAL,
105046,MAGUNCHAL,PLU,AMAZONAS,UTCUBAMBA,-5.8904,-78.1891,M,DIFERIDO,152210
221506,MAGUNCHAL,HLG,AMAZONAS,UTCUBAMBA,-5.8898,-78.1886,H,DIFERIDO,221506
472B2370,MAGUNCHAL,EHA,AMAZONAS,UTCUBAMBA,-5.88987,-78.18876,H,AUTOMATICA,
220907,NARANJITO,EHA,AMAZONAS,UTCUBAMBA,-5.81968,-78.27598,H,AUTOMATICA,
109016,AIJA,CO,ANCASH,AIJA,-9.78164,-77.60674,M,REAL,
110018,CHIQUIAN,CO,ANCASH,BOLOGNESI,-10.14763,-77.15949,M,REAL,
110040,MAYORARCA,PLU,ANCASH,BOLOGNESI,-10.15775,-77.34889,M,DIFERIDO,150903
109014,BUENA VISTA,CO,ANCASH,CASMA,-9.43371,-78.20825,M,DIFERIDO,000435
109096,BUENA VISTA,EMA,ANCASH,CASMA,-9.43372,-78.20828,M,AUTOMATICA,
109046,CAJAMARQUILLA,CO,ANCASH,HUARAZ,-9.63204,-77.74136,M,REAL,
109045,CHACCHAN,PLU,ANCASH,HUARAZ,-9.53519,-77.77536,M,DIFERIDO,154107
109040,PARIACOTO,CO,ANCASH,HUARAZ,-9.55239,-77.88761,M,REAL,
109048,PIRA,PLU,ANCASH,HUARAZ,-9.58528,-77.70719,M,DIFERIDO,154110
211404,SAN PEDRO,HLM,ANCASH,HUARAZ,-9.60776,-77.50963,H,DIFERIDO,201720
109019,CHAVIN,CO,ANCASH,HUARI,-9.58598,-77.17526,M,REAL,
4725A10C,CHAVIN,EAMA,ANCASH,HUARI,-9.58598,-77.17529,M,AUTOMATICA,
110016,HUARMEY,CO,ANCASH,HUARMEY,-10.06812,-78.16232,M,REAL,
109038,MALVAS,CO,ANCASH,HUARMEY,-9.92723,-77.65519,M,REAL,
109091,SAUCEPAMPA,EMA,ANCASH,HUAYLAS,-9.0309,-77.7763,M,AUTOMATICA,
108103,PISCOBAMBA II,CO,ANCASH,MARISCAL LUZURIAGA,-8.87045,-77.35072,M,REAL,
202404,CAHUA,HLG,ANCASH,OCROS,-10.606,-77.34389,H,DIFERIDO,202404
110051,OCROS,PLU,ANCASH,OCROS,-10.40457,-77.40025,M,DIFERIDO,155105
472182DA,PUENTE CAHUA,EHA,ANCASH,OCROS,-10.60597,-77.34388,H,AUTOMATICA,
108064,CABANA,CP,ANCASH,PALLASCA,-8.39058,-78.00461,M,REAL,
108017,POMABAMBA,CO,ANCASH,POMABAMBA,-8.8217,-77.45733,M,REAL,
110039,CHAMANA,CO,ANCASH,RECUAY,-10.20739,-77.55872,M,REAL,
109095,NUEVO PACHACOTO,PLU,ANCASH,RECUAY,-9.85242,-77.40607,M,DIFERIDO,109095
47E89394,PACHACOTO,EMA,ANCASH,RECUAY,-9.85243,-77.40607,M,AUTOMATICA,
109017,RECUAY,CO,ANCASH,RECUAY,-9.72919,-77.45365,M,REAL,
47259496,RECUAY,EMA,ANCASH,RECUAY,-9.72919,-77.45365,M,AUTOMATICA,
110138,SHAQUEK,EMA,ANCASH,RECUAY,-10.07116,-77.52504,M,AUTOMATICA,
211601,SAN JACINTO,EHA,ANCASH,SANTA,-9.141,-78.2023,H,AUTOMATICA,
108047,SIHUAS,CO,ANCASH,SIHUAS,-8.56667,-77.65,M,REAL,
109018,YUNGAY,CO,ANCASH,YUNGAY,-9.14189,-77.74998,M,REAL,
113136,CUNYAC,PLU,APURIMAC,ABANCAY,-13.56334,-72.57594,M,DIFERIDO,156224
113029,CURAHUASI,CP,APURIMAC,ABANCAY,-13.55253,-72.73487,M,REAL,
113253,CURAHUASI,EMA,APURIMAC,ABANCAY,-13.5526,-72.7349,M,AUTOMATICA,
113225,GRANJA SAN ANTONIO,MAP,APURIMAC,ABANCAY,-13.6049,-72.8569,M,REAL,
47263360,GRANJA SAN ANTONIO,EAMA,APURIMAC,ABANCAY,-13.60492,-72.85693,M,AUTOMATICA,
230503,PUENTE CUNYAC,HLM,APURIMAC,ABANCAY,-13.563,-72.5752,H,REAL,
113025,ANDAHUAYLAS,CO,APURIMAC,ANDAHUAYLAS,-13.64863,-73.36679,M,REAL,
472B16EA,HUACULLO,EMA,APURIMAC,ANTABAMBA,-14.65289,-72.57275,M,AUTOMATICA,
114117,AYMARAES,CO,APURIMAC,AYMARAES,-14.29056,-73.25168,M,REAL,
113138,PAMPAS,CO,APURIMAC,CHINCHEROS,-13.43488,-73.82427,M,REAL,
113246,TANCAYLLO,EMA,APURIMAC,CHINCHEROS,-13.63523,-73.69004,M,AUTOMATICA,
472A1410,CASACCANCHA,EMA,APURIMAC,COTABAMBAS,-13.98923,-72.29832,M,AUTOMATICA,
113059,TAMBOBAMBA,CO,APURIMAC,COTABAMBAS,-13.94492,-72.17522,M,REAL,
114108,CURPAHUASI,CO,APURIMAC,GRAU,-14.0628,-72.6669,M,REAL,
116085,AREQUIPA UV,EMA,AREQUIPA,AREQUIPA,-16.4042,-71.55155,M,AUTOMATICA,
47E26242,BOYADERO,EHA,AREQUIPA,AREQUIPA,-16.58989,-72.00886,H,AUTOMATICA,
116083,CAYMA,PLU,AREQUIPA,AREQUIPA,-16.31689,-71.57919,M,AUTOMATICA,
204710,CHARCANI,HLM,AREQUIPA,AREQUIPA,-16.3109,-71.4949,H,DIFERIDO,204711
472147C4,CHARCANI,EHA,AREQUIPA,AREQUIPA,-16.31086,-71.49511,H,AUTOMATICA,
116020,CHIGUATA,CO,AREQUIPA,AREQUIPA,-16.40644,-71.40913,M,REAL,
